Date,Media,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
Wed Jan 10 10:00:07 +0000 2018,@nytimes,Why the UK has banned microbeads https://t.co/abVEj4VBNA,-0.4588,0.0,0.333,0.667,33
Wed Jan 10 09:46:04 +0000 2018,@nytimes,"RT @nytimesworld: A day after reaching deals with North Korea, South Korea's leader warns of more sanctions if the North misbehaves https:/…",-0.296,0.076,0.168,0.756,34
Wed Jan 10 09:31:03 +0000 2018,@nytimes,"President Trump's longtime lawyer sues @BuzzFeed and Fusion GPS, the firm behind the Russia dossier https://t.co/E7c6nPIr1h",0.0,0.0,0.0,1.0,35
Wed Jan 10 09:14:03 +0000 2018,@nytimes,"RT @nytimesworld: When Afghan men face women in powerful positions: “They get confused, totally confused. They try to fit this individual i…",0.1779,0.19,0.165,0.645,36
Wed Jan 10 08:59:08 +0000 2018,@nytimes,"President Trump’s lawyer sues BuzzFeed and Fusion GPS, the firm behind a salacious dossier that purported to lay ou… https://t.co/EDrKz6P0DA",0.0,0.0,0.0,1.0,37
Wed Jan 10 08:50:04 +0000 2018,@nytimes,RT @nytimesworld: Huawei's new phone was supposed to show Americans what Chinese technology can do. But it has lost a powerful backer there…,0.128,0.112,0.092,0.797,38
Wed Jan 10 08:35:07 +0000 2018,@nytimes,"The Trump administration's decision to cancel a program that gave Salvadorans temporary status ""has a negative impa… https://t.co/XGz7lq0GM7",-0.6908,0.0,0.289,0.711,39
Wed Jan 10 08:20:03 +0000 2018,@nytimes,2 Reuters reporters had been investigating the existence of a mass grave in Myanmar amid what UN said was an ethnic… https://t.co/PjhDPqFqZk,-0.3818,0.0,0.12,0.88,40
Sun Jan 07 06:16:41 +0000 2018,@nytimes,"Horace Ashenfelter, Olympic Victor of a Cold War Showdown, Dies at 94 https://t.co/jDOYa9xENG",-0.5994,0.0,0.262,0.738,41
Sun Jan 07 06:15:24 +0000 2018,@nytimes,No. 1: Make your bed https://t.co/ceKzb1Gk7j,-0.296,0.0,0.306,0.694,42
Sun Jan 07 05:57:26 +0000 2018,@nytimes,You don’t need fad diets or lots of time https://t.co/SeZVb3AP5I,0.2263,0.174,0.0,0.826,43
Sun Jan 07 05:38:56 +0000 2018,@nytimes,"In Alaska, a Deal Is Made for a Controversial Road Inside a Refuge https://t.co/fgn2G3c0BD",-0.2023,0.0,0.153,0.847,44
Sun Jan 07 05:23:40 +0000 2018,@nytimes,The mass bleaching of coral reefs was virtually unheard-of before the 1980s. Now it occurs so frequently that reefs… https://t.co/SKMgcKC7Ts,0.0,0.0,0.0,1.0,45
Sun Jan 07 05:06:52 +0000 2018,@nytimes,"The question for Masha Gessen, who won the nonfiction award in 2017 from the National Book Foundation, is how susta… https://t.co/domS8qlKID",0.802,0.275,0.0,0.725,46
Sun Jan 07 04:50:36 +0000 2018,@nytimes,9 ways to work better in 2018 https://t.co/M2RvGbot0L,0.4404,0.326,0.0,0.674,47
Sun Jan 07 04:33:47 +0000 2018,@nytimes,Does the NFL have a Usain Bolt? Here are the league’s fastest players. https://t.co/vKexcQ2qoS https://t.co/5lOGsx5gd4,0.0,0.0,0.0,1.0,48
Sun Jan 07 04:16:59 +0000 2018,@nytimes,January has arguably become a more important month in the TV calendar than September https://t.co/PyfrYBWmdZ,0.024,0.13,0.124,0.746,49
Sun Jan 07 04:00:24 +0000 2018,@nytimes,You may not want to know the answer to this question https://t.co/wxnH3XqEaK,-0.0572,0.0,0.1,0.9,50
Sun Jan 07 03:43:56 +0000 2018,@nytimes,The key to this bright soup is the Parmesan-rosemary-lemon topping https://t.co/VubjFDvs9t,0.5228,0.252,0.0,0.748,51
Sun Jan 07 03:27:42 +0000 2018,@nytimes,"""I was itching to touch him, to have his hands on me. I wanted to be more desirable than God."" https://t.co/5taKiwWSTh",0.3804,0.12,0.0,0.88,52
Sun Jan 07 03:11:03 +0000 2018,@nytimes,Half the people in this Utah county are Native American. But American Indians have never controlled the local gover… https://t.co/uNBuXbJIpD,0.0,0.0,0.0,1.0,53
Sun Jan 07 02:54:47 +0000 2018,@nytimes,Nothing seems to have captured the imagination of people here like the saxophone https://t.co/HqNLAimcRy,0.3612,0.161,0.0,0.839,54
Sun Jan 07 02:34:16 +0000 2018,@nytimes,"""People use the term '3-D selfie' a lot. It really isn’t that."" https://t.co/Vdq9LrJiEf",0.0,0.0,0.0,1.0,55
Sun Jan 07 02:13:25 +0000 2018,@nytimes,New Jersey is now the last state in the nation where drivers are not allowed to pump their own gasoline https://t.co/jSbFU0HcVk,0.0,0.0,0.0,1.0,56
Sun Jan 07 01:55:34 +0000 2018,@nytimes,"""I became more patient, less anxious, more capable of loving, less afraid of death and decline"" https://t.co/GpZKVGjR43",0.2928,0.267,0.221,0.512,57
